id,SpaceType,SpaceType_1,Area,Vol,Level,H,Orien,Nef,Aef,Lef,Naz,Apw,Lpw,Q50,Wa,WWR,Occ,AefV,AefA,Tin,DT,Hum,ACH,PM25,IO,F,Q4
RC2_F2_EF_LR01,Educational Facilities,Lecture Rooms,40,108.4,2,2.71,140,2,37.94,0.00835,2,37.94,0.00835,10,8.4,0.221,27,0.9485,0.35,19.53,12.32,0.007707411,0.4257,8.593,0.419,46.14588,1.216285714
RC2_F2_EF_SR01,Educational Facilities,Computer Rooms,92.25,250,2,2.71,5,2,37.94,0.00835,5,81.3,0.01789,10,10.5,0.277,37,0.4113,0.1518,21.13,13.92,0.009702169,0.18002,5.364,0.262,45.005,1.186215076
RC2_F2_EF_SR02,Educational Facilities,Computer Rooms,77,208.67,2,2.71,320,2,14.91,0.00328,4,84.01,0.01848,10,4.2,0.282,31,0.1936,0.0714,20.14,12.93,0.010029747,0.14272,3.997,0.195,29.7813824,1.997409953
RC2_F2_EF_SR03,Educational Facilities,Computer Rooms,170.69,462.56,2,2.71,185,2,69.11,0.0152,6,60.71,0.01336,10,23.1,0.334,68,0.4049,0.1494,20.73,13.53,0.010307827,0.13237,4.406,0.215,61.2290672,0.885965377
RC2_F2_O_O01,Offices,Shared Cellular Offices,20,54.2,2,2.71,275,1,10.84,0.00238,3,37.94,0.00835,10,2.1,0.194,4,0.542,0.2,18.97,11.76,0.007198497,0.52595,6.85,0.334,28.50649,2.62975
RC2_F2_O_O02,Offices,Shared Cellular Offices,12.5,33.88,2,2.71,275,1,6.78,0.00149,3,33.88,0.00745,10,2.1,0.31,2,0.542,0.2,19.1,11.89,0.007030629,0.53921,7.061,0.345,18.2684348,2.69445941
RC2_F2_O_O03,Offices,Shared Cellular Offices,12.5,33.88,2,2.71,275,1,6.78,0.00149,3,33.88,0.00745,10,2.1,0.31,2,0.542,0.2,19.26,12.05,0.007011804,0.54146,7.152,0.349,18.3446648,2.705702773
RC2_F2_O_O04,Offices,Shared Cellular Offices,12.5,33.88,2,2.71,275,1,6.78,0.00149,3,33.88,0.00745,10,2.1,0.31,2,0.542,0.2,19.35,12.14,0.007029996,0.54114,7.172,0.35,18.3338232,2.704103717
RC2_F2_O_O05,Offices,Shared Cellular Offices,21.25,57.59,2,2.71,275,1,11.52,0.00253,3,38.62,0.0085,10,2.1,0.182,5,0.542,0.2,19.41,12.2,0.007145923,0.53666,7.11,0.347,30.9062494,2.682834149
RC2_F2_O_O06,Offices,Shared Cellular Offices,13.75,37.26,2,2.71,275,1,7.45,0.00164,3,34.55,0.0076,10,2.1,0.282,2,0.542,0.2,19.6,12.39,0.007101659,0.5477,7.224,0.353,20.407302,2.739235168
RC2_F2_O_O07,Offices,Open Offices,63.25,171.41,2,2.71,230,2,26.42,0.00581,5,75.2,0.01654,10,12.6,0.477,14,0.4177,0.1541,20.21,13,0.007452786,0.43074,7.368,0.36,73.8331434,2.794592861
RC2_F2_O_O08,Offices,Shared Cellular Offices,12.94,35.06,2,2.71,95,1,6.1,0.00134,3,37.26,0.0082,10,2.1,0.344,2,0.4713,0.1739,21,13.79,0.00862183,0.05659,4.747,0.232,1.9840454,0.325253344
RC2_F2_O_O09,Offices,Shared Cellular Offices,12.94,35.06,2,2.71,95,1,6.1,0.00134,3,37.26,0.0082,10,2.1,0.344,2,0.4713,0.1739,20.87,13.66,0.009153192,0.05648,4.605,0.225,1.9801888,0.324621115
RC2_F2_O_O10,Offices,Shared Cellular Offices,14.37,38.96,2,2.71,95,1,6.78,0.00149,3,37.94,0.00835,10,2.1,0.31,2,0.4713,0.1739,20.24,13.03,0.009040502,0.05582,4.585,0.224,2.1747472,0.320759174
RC2_F2_O_O11,Offices,Shared Cellular Offices,14.37,38.96,2,2.71,95,1,6.78,0.00149,3,37.94,0.00835,10,2.1,0.31,2,0.4713,0.1739,19.89,12.68,0.00887686,0.05545,4.609,0.225,2.160332,0.318633038
RC2_F2_O_O12,Offices,Shared Cellular Offices,14.37,38.96,2,2.71,95,1,6.78,0.00149,3,37.94,0.00835,10,2.1,0.31,2,0.4713,0.1739,19.67,12.46,0.008677645,0.05514,4.728,0.231,2.1482544,0.316851681
RC2_F2_O_O13,Offices,Shared Cellular Offices,15.81,42.85,2,2.71,50,2,10.84,0.00238,3,35.23,0.00775,10,4.2,0.387,3,0.6855,0.253,19.35,12.14,0.008009271,0.10948,5.858,0.286,4.691218,0.432769188
